id,title,released_year,runtime,genre,overview
429,Who's Afraid of Virginia Woolf?,1966,131,Drama,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
430,The Sound of Music,1965,172,"Biography, Drama, Family",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
431,Doctor Zhivago,1965,197,"Drama, Romance, War","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
432,Per un pugno di dollari,1964,99,"Action, Drama, Western","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
433,8\275,1963,138,Drama,A harried movie director retreats into his memories and fantasies.
434,Vivre sa vie: Film en douze tableaux,1962,80,Drama,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
435,The Hustler,1961,134,"Drama, Sport",An up-and-coming pool player plays a long-time champion in a single high-stakes match.
436,La dolce vita,1960,174,"Comedy, Drama",A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.
437,Rio Bravo,1959,141,"Action, Drama, Western","A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
438,Anatomy of a Murder,1959,161,"Crime, Drama, Mystery","In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
439,Touch of Evil,1958,95,"Crime, Drama, Film-Noir","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
440,Cat on a Hot Tin Roof,1958,108,Drama,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
441,Sweet Smell of Success,1957,96,"Drama, Film-Noir",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
442,The Killing,1956,84,"Crime, Drama, Film-Noir",Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.
443,The Night of the Hunter,1955,92,"Crime, Drama, Film-Noir","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
444,La Strada,1954,108,Drama,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way."
445,Les diaboliques,1955,117,"Crime, Drama, Horror",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
446,Stalag 17,1953,120,"Comedy, Drama, War","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer."
447,Roman Holiday,1953,118,"Comedy, Romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
448,A Streetcar Named Desire,1951,122,Drama,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
